news_id,stream_order,timestamp,company,company_category,headline,content,source_type
R0001,1,2026-01-09T08:00:00Z,Nexvora Industries Pvt. Ltd.,fake,"Users question authenticity after inconsistent public records surface","Users question authenticity after inconsistent public records surface related to Nexvora Industries Pvt. Ltd.. Online sentiment and public commentary continue to evolve.",media
R0002,2,2026-01-09T08:03:00Z,Alturon Global Solutions,fake,"Online discussions allege misleading branding practices","Online discussions allege misleading branding practices related to Alturon Global Solutions. Online sentiment and public commentary continue to evolve.",media
R0003,3,2026-01-09T08:06:00Z,BlueCrest Manufacturing Co.,fake,"Industry watchers flag possible impersonation attempts","Industry watchers flag possible impersonation attempts related to BlueCrest Manufacturing Co.. Online sentiment and public commentary continue to evolve.",media
R0004,4,2026-01-09T08:09:00Z,Veridion Supply Systems,legitimate,"Operations remain stable despite online discussions","Operations remain stable despite online discussions related to Veridion Supply Systems. Online sentiment and public commentary continue to evolve.",media
R0005,5,2026-01-09T08:12:00Z,StratEdge Enterprises,legitimate,"Company issues clarification after minor public complaints","Company issues clarification after minor public complaints related to StratEdge Enterprises. Online sentiment and public commentary continue to evolve.",media
R0006,6,2026-01-09T08:15:00Z,Orbinex Components Ltd.,legitimate,"Positive response noted after transparent communication","Positive response noted after transparent communication related to Orbinex Components Ltd.. Online sentiment and public commentary continue to evolve.",media
R0007,7,2026-01-09T08:18:00Z,Kalyx Materials Group,legitimate,"Stakeholders acknowledge corrective action taken","Stakeholders acknowledge corrective action taken related to Kalyx Materials Group. Online sentiment and public commentary continue to evolve.",media
R0008,8,2026-01-09T08:21:00Z,Zenlith Logistics Corp.,legitimate,"Operations remain stable despite online discussions","Operations remain stable despite online discussions related to Zenlith Logistics Corp.. Online sentiment and public commentary continue to evolve.",media
R0009,9,2026-01-09T08:24:00Z,PrimeAxis Industrial Works,restricted,"Partners express frustration over extended approval timelines","Partners express frustration over extended approval timelines related to PrimeAxis Industrial Works. Online sentiment and public commentary continue to evolve.",media
R0010,10,2026-01-09T08:27:00Z,Solvex Trade & Sourcing,restricted,"Strict onboarding policies trigger negative sentiment","Strict onboarding policies trigger negative sentiment related to Solvex Trade & Sourcing. Online sentiment and public commentary continue to evolve.",media
R0011,11,2026-01-09T08:30:00Z,Nexvora Industries Pvt. Ltd.,fake,"Industry watchers flag possible impersonation attempts","Industry watchers flag possible impersonation attempts related to Nexvora Industries Pvt. Ltd.. Online sentiment and public commentary continue to evolve.",media
R0012,12,2026-01-09T08:33:00Z,Alturon Global Solutions,fake,"Concerns raised over unverifiable operational claims","Concerns raised over unverifiable operational claims related to Alturon Global Solutions. Online sentiment and public commentary continue to evolve.",media
R0013,13,2026-01-09T08:36:00Z,BlueCrest Manufacturing Co.,fake,"Users question authenticity after inconsistent public records surface","Users question authenticity after inconsistent public records surface related to BlueCrest Manufacturing Co.. Online sentiment and public commentary continue to evolve.",media
